geo_id,tract,total_18_to_64_2018_ALL,total_18_to_64_2018_BLACK,total_18_to_64_2018_LATINX,total_18_to_64_2018_WHITE,percent_18_to_64_2018_BLACK,percent_18_to_64_2018_LATINX,percent_18_to_64_2018_WHITE,total_18_to_over_2018_ALL,total_18_to_over_2018_BLACK,total_18_to_over_2018_LATINX,total_18_to_over_2018_WHITE,percent_18_to_over_2018_BLACK,percent_18_to_over_2018_LATINX,percent_18_to_over_2018_WHITE,total_assoc_to_higher_2018_ALL,percent_assoc_to_higher_2018_ALL,total_bach_to_higher_2018_ALL,total_bach_to_higher_2018_BLACK,total_bach_to_higher_2018_LATINX,total_bach_to_higher_2018_WHITE,percent_bach_to_higher_2018_ALL,percent_bach_to_higher_2018_BLACK,percent_bach_to_higher_2018_LATINX,percent_bach_to_higher_2018_WHITE, median_income_all_2018 , median_income_black_2018 , median_income_latinx_2018 , median_income_white_2018 ,totalbelowpov_18_to_64_2018,totalbelowpov_black_2018,totalbelowpov_latinx_2018,totalbelowpov_white_2018,pctbelowpov_18_to_64_2018,pctbelowpov_black_2018,pctbelowpov_latinx_2018,pctbelowpov_white_2018
1400000US48039662200,"Census Tract 6622, Brazoria County, Texas",4896,690,1032,3039,14.1%,21.1%,62.1%,5620,690,1057,3722,12.3%,18.8%,66.2%,1606,33.9%,1208,172,82,901,25.5%,14.2%,6.8%,74.6%," $ 72,539.00 "," $ 53,456.00 "," $ 67,039.00 "," $ 78,616.00 ",208,0,84,291,5.1%,0.0%,5.5%,7.0%
1400000US48039663800,"Census Tract 6638, Brazoria County, Texas",4146,566,2002,1507,13.7%,48.3%,36.3%,4651,579,2090,1911,12.4%,44.9%,41.1%,1021,24.8%,745,53,223,469,18.1%,7.1%,29.9%,63.0%," $ 56,250.00 "," $ 32,041.00 "," $ 60,313.00 "," $ 67,531.00 ",685,215,475,385,16.6%,32.2%,14.6%,18.2%
1400000US48039663000,"Census Tract 6630, Brazoria County, Texas",2906,700,626,1567,24.1%,21.5%,53.9%,3572,734,740,2050,20.5%,20.7%,57.4%,553,18.3%,287,75,22,183,9.5%,26.1%,7.7%,63.8%," $ 55,977.00 "," $ 60,903.00 ", - ," $ 61,625.00 ",297,9,277,227,16.7%,4.1%,47.6%,10.5%
1400000US48039664100,"Census Tract 6641, Brazoria County, Texas",3590,101,1720,1748,2.8%,47.9%,48.7%,4378,101,1874,2382,2.3%,42.8%,54.4%,626,15.8%,301,40,69,192,7.6%,13.3%,22.9%,63.8%," $ 63,650.00 "," $ 120,976.00 "," $ 51,656.00 "," $ 67,700.00 ",375,0,364,240,10.4%,0.0%,12.6%,9.0%
1400000US48039660200,"Census Tract 6602, Brazoria County, Texas",4179,475,893,2484,11.4%,21.4%,59.4%,4877,517,985,3032,10.6%,20.2%,62.2%,2021,48.9%,1675,107,134,1182,40.5%,6.4%,8.0%,70.6%," $ 87,478.00 "," $ 81,571.00 "," $ 86,250.00 "," $ 99,063.00 ",236,0,65,344,5.7%,0.0%,4.7%,8.4%
1400000US48039662100,"Census Tract 6621, Brazoria County, Texas",3307,389,1060,1718,11.8%,32.1%,52.0%,4377,577,1219,2407,13.2%,27.9%,55.0%,1106,28.0%,858,40,105,633,21.7%,4.7%,12.2%,73.8%," $ 77,566.00 "," $ 54,706.00 "," $ 53,100.00 "," $ 80,203.00 ",300,164,326,197,9.1%,22.9%,19.7%,6.8%
1400000US48039662600,"Census Tract 6626, Brazoria County, Texas",2284,248,609,1355,10.9%,26.7%,59.3%,2801,278,609,1842,9.9%,21.7%,65.8%,558,25.3%,359,34,0,317,16.3%,9.5%,0.0%,88.3%," $ 66,972.00 "," $ 64,301.00 "," $ 73,934.00 "," $ 66,278.00 ",199,27,61,200,8.7%,5.5%,7.0%,9.5%
1400000US48039663600,"Census Tract 6636, Brazoria County, Texas",3100,40,555,2364,1.3%,17.9%,76.3%,3860,40,648,3000,1.0%,16.8%,77.7%,1990,56.4%,1554,7,111,1300,44.0%,0.5%,7.1%,83.7%," $ 120,083.00 ", - ," $ 125,397.00 "," $ 110,568.00 ",128,0,31,106,4.1%,0.0%,2.8%,2.8%
1400000US48039661400,"Census Tract 6614, Brazoria County, Texas",3962,0,1419,2388,0.0%,35.8%,60.3%,4952,43,1445,3309,0.9%,29.2%,66.8%,1201,27.3%,703,0,97,585,16.0%,0.0%,13.8%,83.2%," $ 54,326.00 ", - ," $ 54,239.00 "," $ 54,394.00 ",194,0,472,296,4.9%,0.0%,19.1%,7.1%
1400000US48039663100,"Census Tract 6631, Brazoria County, Texas",5386,955,1525,2714,17.7%,28.3%,50.4%,6411,1026,1549,3644,16.0%,24.2%,56.8%,2163,35.5%,1699,55,241,1336,27.9%,3.2%,14.2%,78.6%," $ 127,773.00 ", - ," $ 65,563.00 "," $ 135,926.00 ",129,0,34,83,3.8%,0.0%,2.1%,2.2%
1400000US48039662700,"Census Tract 6627, Brazoria County, Texas",1542,169,248,1114,11.0%,16.1%,72.2%,1917,189,331,1386,9.9%,17.3%,72.3%,437,24.5%,292,49,0,243,16.4%,16.8%,0.0%,83.2%," $ 62,188.00 "," $ 41,442.00 ", - ," $ 72,952.00 ",150,17,78,144,9.7%,7.6%,19.9%,7.9%
1400000US48039664200,"Census Tract 6642, Brazoria County, Texas",1396,97,219,1008,6.9%,15.7%,72.2%,1751,102,278,1255,5.8%,15.9%,71.7%,325,20.6%,228,0,7,214,14.5%,0.0%,3.1%,93.9%," $ 47,589.00 "," $ 69,583.00 "," $ 52,500.00 "," $ 42,500.00 ",308,25,28,339,22.3%,23.4%,6.5%,23.1%
1400000US48039660400,"Census Tract 6604, Brazoria County, Texas",6552,694,1755,3412,10.6%,26.8%,52.1%,7372,795,1919,3942,10.8%,26.0%,53.5%,3874,58.6%,3245,380,537,1915,49.1%,11.7%,16.5%,59.0%," $ 99,322.00 "," $ 67,973.00 "," $ 76,307.00 "," $ 105,826.00 ",604,50,204,566,9.2%,4.8%,7.2%,9.9%
1400000US48039661200,"Census Tract 6612, Brazoria County, Texas",2920,139,1066,1642,4.8%,36.5%,56.2%,3265,139,1082,1958,4.3%,33.1%,60.0%,649,25.7%,371,0,65,268,14.7%,0.0%,17.5%,72.2%," $ 44,881.00 ", - ," $ 52,792.00 "," $ 47,546.00 ",574,115,291,407,19.7%,61.5%,19.8%,15.4%
1400000US48039663300,"Census Tract 6633, Brazoria County, Texas",1382,119,439,708,8.6%,31.8%,51.2%,1620,125,476,845,7.7%,29.4%,52.2%,412,28.0%,249,15,22,109,16.9%,6.0%,8.8%,43.8%," $ 62,250.00 ", - ," $ 54,250.00 "," $ 52,361.00 ",185,5,55,249,13.4%,3.0%,7.6%,23.3%
1400000US48039663500,"Census Tract 6635, Brazoria County, Texas",3751,291,1269,2127,7.8%,33.8%,56.7%,4361,293,1355,2633,6.7%,31.1%,60.4%,948,25.8%,636,0,127,497,17.3%,0.0%,20.0%,78.1%," $ 73,415.00 ", - ," $ 73,201.00 "," $ 73,913.00 ",244,88,118,174,6.5%,23.5%,5.1%,5.4%
1400000US48039663900,"Census Tract 6639, Brazoria County, Texas",1430,81,849,463,5.7%,59.4%,32.4%,1728,104,973,601,6.0%,56.3%,34.8%,151,10.4%,109,8,32,58,7.5%,7.3%,29.4%,53.2%," $ 44,722.00 "," $ 80,156.00 "," $ 47,250.00 "," $ 42,500.00 ",203,26,277,59,14.3%,22.2%,19.7%,8.9%
1400000US48039661300,"Census Tract 6613, Brazoria County, Texas",1483,28,650,772,1.9%,43.8%,52.1%,1797,28,771,952,1.6%,42.9%,53.0%,227,14.8%,157,2,31,124,10.2%,1.3%,19.7%,79.0%," $ 40,592.00 ", - ," $ 34,145.00 "," $ 47,824.00 ",379,23,245,306,25.6%,76.7%,21.8%,24.6%
1400000US48039663400,"Census Tract 6634, Brazoria County, Texas",4695,386,1404,2602,8.2%,29.9%,55.4%,5714,436,1404,3505,7.6%,24.6%,61.3%,2158,43.7%,1772,144,266,1250,35.9%,8.1%,15.0%,70.5%," $ 74,735.00 "," $ 59,271.00 "," $ 73,201.00 "," $ 84,265.00 ",479,136,328,185,10.2%,21.8%,15.0%,4.3%
1400000US48039662300,"Census Tract 6623, Brazoria County, Texas",3026,513,747,1680,17.0%,24.7%,55.5%,3641,513,812,2166,14.1%,22.3%,59.5%,781,23.9%,608,102,55,423,18.6%,16.8%,9.0%,69.6%," $ 54,973.00 ", - ," $ 66,667.00 "," $ 55,114.00 ",586,432,320,456,19.4%,49.6%,24.9%,15.5%
1400000US48039662400,"Census Tract 6624, Brazoria County, Texas",3016,183,708,2039,6.1%,23.5%,67.6%,3828,262,737,2737,6.8%,19.3%,71.5%,885,25.5%,500,11,105,367,14.4%,2.2%,21.0%,73.4%," $ 56,723.00 "," $ 50,112.00 "," $ 43,365.00 "," $ 80,915.00 ",152,0,77,133,5.0%,0.0%,7.7%,3.9%
1400000US48039662800,"Census Tract 6628, Brazoria County, Texas",3497,346,663,2488,9.9%,19.0%,71.1%,4695,454,803,3438,9.7%,17.1%,73.2%,1001,24.1%,522,40,0,482,12.6%,7.7%,0.0%,92.3%," $ 63,576.00 ", - ," $ 84,886.00 "," $ 64,595.00 ",487,372,69,480,14.0%,56.2%,6.6%,10.9%
1400000US48039660900,"Census Tract 6609, Brazoria County, Texas",4493,269,2227,1786,6.0%,49.6%,39.8%,5169,269,2398,2291,5.2%,46.4%,44.3%,1288,28.8%,983,198,196,446,22.0%,20.1%,19.9%,45.4%," $ 60,833.00 "," $ 170,341.00 "," $ 41,250.00 "," $ 64,226.00 ",680,0,965,247,15.2%,0.0%,24.5%,8.4%
1400000US48039661900,"Census Tract 6619, Brazoria County, Texas",11470,3249,4503,3435,28.3%,39.3%,29.9%,12874,3429,5023,4074,26.6%,39.0%,31.6%,2185,18.8%,1573,486,284,721,13.5%,30.9%,18.1%,45.8%," $ 78,654.00 "," $ 95,455.00 "," $ 54,493.00 "," $ 106,299.00 ",501,49,516,142,8.6%,2.7%,10.9%,5.5%
1400000US48039664000,"Census Tract 6640, Brazoria County, Texas",2400,317,1464,619,13.2%,61.0%,25.8%,2850,419,1542,889,14.7%,54.1%,31.2%,463,17.8%,262,31,82,149,10.1%,11.8%,31.3%,56.9%," $ 65,433.00 "," $ 43,885.00 "," $ 52,500.00 "," $ 84,561.00 ",301,41,393,84,12.5%,7.1%,17.1%,7.9%
1400000US48039660100,"Census Tract 6601, Brazoria County, Texas",2919,335,563,1767,11.5%,19.3%,60.5%,3838,346,741,2417,9.0%,19.3%,63.0%,1819,51.9%,1290,127,164,835,36.8%,9.8%,12.7%,64.7%," $ 106,548.00 "," $ 123,792.00 "," $ 84,118.00 "," $ 110,724.00 ",59,88,36,34,2.0%,18.1%,4.3%,1.1%
1400000US48039660500,"Census Tract 6605, Brazoria County, Texas",5951,470,2332,2701,7.9%,39.2%,45.4%,7023,506,2502,3564,7.2%,35.6%,50.7%,2253,36.9%,1769,308,298,1011,29.0%,17.4%,16.8%,57.2%," $ 85,245.00 "," $ 123,209.00 "," $ 74,196.00 "," $ 87,896.00 ",568,0,432,353,9.5%,0.0%,10.9%,8.2%
1400000US48039664300,"Census Tract 6643, Brazoria County, Texas",3233,507,2235,434,15.7%,69.1%,13.4%,3498,577,2303,561,16.5%,65.8%,16.0%,310,11.1%,149,49,90,0,5.3%,32.9%,60.4%,0.0%," $ 39,015.00 "," $ 26,875.00 "," $ 42,875.00 ", - ,795,266,1163,118,24.7%,26.0%,30.4%,16.0%
1400000US48039662500,"Census Tract 6625, Brazoria County, Texas",1764,230,356,1199,13.0%,20.2%,68.0%,2228,273,471,1503,12.3%,21.1%,67.5%,590,29.6%,351,40,10,300,17.6%,11.4%,2.8%,85.5%," $ 90,658.00 ", - ," $ 46,667.00 "," $ 109,375.00 ",200,3,155,190,11.4%,0.7%,27.1%,9.7%
1400000US48039663200,"Census Tract 6632, Brazoria County, Texas",2945,97,830,1905,3.3%,28.2%,64.7%,3559,119,876,2426,3.3%,24.6%,68.2%,1470,47.0%,1102,20,175,897,35.2%,1.8%,15.9%,81.4%," $ 68,708.00 ", - ," $ 71,188.00 "," $ 82,222.00 ",363,0,292,270,12.3%,0.0%,21.1%,8.9%
1400000US48039663700,"Census Tract 6637, Brazoria County, Texas",2262,45,892,1236,2.0%,39.4%,54.6%,2525,45,953,1438,1.8%,37.7%,57.0%,764,34.9%,405,14,78,301,18.5%,3.5%,19.3%,74.3%," $ 89,779.00 ", - ," $ 64,531.00 "," $ 98,250.00 ",230,0,365,124,10.2%,0.0%,24.6%,6.5%
1400000US48039664400,"Census Tract 6644, Brazoria County, Texas",3767,342,2546,908,9.1%,67.6%,24.1%,4269,447,2770,1045,10.5%,64.9%,24.5%,544,16.3%,367,57,63,211,11.0%,15.5%,17.2%,57.5%," $ 38,107.00 ", - ," $ 35,943.00 "," $ 58,750.00 ",649,377,682,299,17.2%,44.6%,17.8%,22.3%
1400000US48039661800,"Census Tract 6618, Brazoria County, Texas",3831,318,956,2009,8.3%,25.0%,52.4%,4608,370,1113,2529,8.0%,24.2%,54.9%,1104,27.8%,695,76,42,485,17.5%,10.9%,6.0%,69.8%," $ 79,113.00 "," $ 71,250.00 "," $ 65,729.00 "," $ 97,083.00 ",428,36,175,345,11.2%,6.8%,11.9%,10.0%
1400000US48039662000,"Census Tract 6620, Brazoria County, Texas",3671,188,885,2566,5.1%,24.1%,69.9%,4630,323,932,3343,7.0%,20.1%,72.2%,919,21.9%,705,22,41,642,16.8%,3.1%,5.8%,91.1%," $ 70,487.00 "," $ 56,705.00 "," $ 70,208.00 "," $ 72,972.00 ",434,0,382,276,11.9%,0.0%,26.5%,6.4%
1400000US48039662900,"Census Tract 6629, Brazoria County, Texas",2939,278,710,1910,9.5%,24.2%,65.0%,3706,372,738,2555,10.0%,19.9%,68.9%,491,15.1%,261,32,0,229,8.0%,12.3%,0.0%,87.7%," $ 59,891.00 "," $ 26,210.00 "," $ 82,917.00 "," $ 55,938.00 ",261,110,112,328,8.9%,22.7%,8.9%,10.0%
1400000US48039660702,"Census Tract 6607.02, Brazoria County, Texas",9156,2166,1352,4134,23.7%,14.8%,45.2%,10385,2311,1636,4757,22.3%,15.8%,45.8%,5949,61.2%,5277,1302,501,2578,54.3%,24.7%,9.5%,48.9%," $ 100,257.00 "," $ 63,676.00 "," $ 70,598.00 "," $ 109,435.00 ",234,312,73,23,2.6%,8.9%,3.1%,0.3%
1400000US48039660801,"Census Tract 6608.01, Brazoria County, Texas",5743,921,1752,2683,16.0%,30.5%,46.7%,6567,975,1890,3137,14.8%,28.8%,47.8%,2711,45.6%,2151,530,299,1078,36.2%,24.6%,13.9%,50.1%," $ 103,063.00 "," $ 116,153.00 "," $ 78,269.00 "," $ 110,804.00 ",118,30,116,45,2.1%,2.2%,3.9%,1.1%
1400000US48039660802,"Census Tract 6608.02, Brazoria County, Texas",5523,608,1728,2662,11.0%,31.3%,48.2%,5966,811,1728,2853,13.6%,29.0%,47.8%,2209,43.9%,1691,252,390,806,33.6%,14.9%,23.1%,47.7%," $ 106,422.00 "," $ 82,448.00 "," $ 103,542.00 "," $ 132,535.00 ",111,0,51,49,2.0%,0.0%,1.7%,1.3%
1400000US48039661501,"Census Tract 6615.01, Brazoria County, Texas",2803,63,973,1719,2.2%,34.7%,61.3%,3479,63,1155,2213,1.8%,33.2%,63.6%,685,22.5%,463,0,63,383,15.2%,0.0%,13.6%,82.7%," $ 62,422.00 ", - ," $ 43,368.00 "," $ 69,740.00 ",354,2,283,334,12.6%,2.8%,14.3%,12.2%
1400000US48039661502,"Census Tract 6615.02, Brazoria County, Texas",2859,80,861,1805,2.8%,30.1%,63.1%,3550,92,931,2414,2.6%,26.2%,68.0%,728,22.4%,464,37,113,288,14.3%,8.0%,24.4%,62.1%," $ 70,179.00 ", - ," $ 67,250.00 "," $ 72,798.00 ",274,0,85,389,9.6%,0.0%,6.5%,12.4%
1400000US48039661601,"Census Tract 6616.01, Brazoria County, Texas",4061,90,1265,2646,2.2%,31.1%,65.2%,5207,135,1556,3456,2.6%,29.9%,66.4%,1477,32.6%,1089,28,108,940,24.0%,2.6%,9.9%,86.3%," $ 65,722.00 "," $ 25,921.00 "," $ 52,159.00 "," $ 69,643.00 ",683,0,559,495,16.8%,0.0%,25.0%,12.1%
1400000US48039661602,"Census Tract 6616.02, Brazoria County, Texas",1812,44,975,740,2.4%,53.8%,40.8%,2061,52,1018,938,2.5%,49.4%,45.5%,524,30.2%,319,10,47,222,18.4%,3.1%,14.7%,69.6%," $ 69,150.00 ", - ," $ 70,564.00 "," $ 69,550.00 ",280,13,431,106,15.5%,25.0%,24.9%,8.7%
1400000US48039664501,"Census Tract 6645.01, Brazoria County, Texas",3099,150,712,2223,4.8%,23.0%,71.7%,4189,263,765,3143,6.3%,18.3%,75.0%,770,21.1%,449,54,22,373,12.3%,12.0%,4.9%,83.1%," $ 48,810.00 ", - ," $ 41,542.00 "," $ 53,681.00 ",415,120,274,313,13.4%,36.4%,21.7%,8.2%
1400000US48039990000,"Census Tract 9900, Brazoria County, Texas",0,0,0,0,0.0%,0.0%,0.0%,0,0,0,0,0.0%,0.0%,0.0%,0,0.0%,0,0,0,0,0.0%,0.0%,0.0%,0.0%, - , - , - , - ,0,0,0,0,-,-,-,-
1400000US48039660601,"Census Tract 6606.01, Brazoria County, Texas",7667,1411,1351,2931,18.4%,17.6%,38.2%,9831,1806,1588,4465,18.4%,16.2%,45.4%,4358,49.7%,3895,797,497,1834,44.4%,20.5%,12.8%,47.1%," $ 101,667.00 "," $ 58,616.00 "," $ 120,038.00 "," $ 108,776.00 ",217,318,0,205,2.8%,11.8%,0.0%,4.0%
1400000US48039660602,"Census Tract 6606.02, Brazoria County, Texas",27537,8526,5647,7358,31.0%,20.5%,26.7%,30626,9104,6201,8151,29.7%,20.2%,26.6%,16879,59.7%,14580,4316,1577,3911,51.6%,29.6%,10.8%,26.8%," $ 101,986.00 "," $ 109,444.00 "," $ 79,462.00 "," $ 94,932.00 ",1210,355,811,264,4.4%,2.7%,8.8%,2.5%
1400000US48039660701,"Census Tract 6607.01, Brazoria County, Texas",9984,2903,1559,3995,29.1%,15.6%,40.0%,11251,3354,1717,4487,29.8%,15.3%,39.9%,6520,64.0%,5962,1613,453,2387,58.5%,27.1%,7.6%,40.0%," $ 128,110.00 "," $ 101,108.00 "," $ 88,056.00 "," $ 129,881.00 ",517,412,496,151,5.2%,10.1%,18.1%,2.3%
1400000US48071710200,"Census Tract 7102, Chambers County, Texas",12090,781,3456,7641,6.5%,28.6%,63.2%,13513,898,3596,8793,6.6%,26.6%,65.1%,4290,36.6%,3164,272,323,2405,27.0%,8.6%,10.2%,76.0%," $ 106,288.00 "," $ 107,781.00 "," $ 103,750.00 "," $ 113,761.00 ",1117,81,1842,534,9.2%,7.4%,33.0%,4.4%
1400000US48071710600,"Census Tract 7106, Chambers County, Texas",0,0,0,0,0.0%,0.0%,0.0%,0,0,0,0,0.0%,0.0%,0.0%,0,0.0%,0,0,0,0,0.0%,0.0%,0.0%,0.0%, - , - , - , - ,0,0,0,0,-,-,-,-
1400000US48071710100,"Census Tract 7101, Chambers County, Texas",4992,245,527,4060,4.9%,10.6%,81.3%,6050,257,536,5097,4.2%,8.9%,84.2%,1915,34.5%,1239,0,8,1231,22.3%,0.0%,0.6%,99.4%," $ 76,944.00 ", - ," $ 31,154.00 "," $ 83,534.00 ",359,0,49,538,7.2%,0.0%,4.7%,8.0%
1400000US48071710300,"Census Tract 7103, Chambers County, Texas",1592,480,119,955,30.2%,7.5%,60.0%,2028,585,119,1286,28.8%,5.9%,63.4%,385,21.1%,249,11,34,197,13.6%,4.4%,13.7%,79.1%," $ 61,063.00 "," $ 33,795.00 ", - ," $ 84,028.00 ",427,309,0,378,26.8%,38.4%,0.0%,21.8%
1400000US48071710500,"Census Tract 7105, Chambers County, Texas",2429,136,966,1126,5.6%,39.8%,46.4%,2975,216,1046,1510,7.3%,35.2%,50.8%,351,13.6%,260,15,0,241,10.1%,5.8%,0.0%,92.7%," $ 39,672.00 "," $ 39,458.00 "," $ 27,500.00 "," $ 58,958.00 ",503,0,424,308,22.1%,0.0%,34.2%,16.6%
1400000US48071990000,"Census Tract 9900, Chambers County, Texas",0,0,0,0,0.0%,0.0%,0.0%,0,0,0,0,0.0%,0.0%,0.0%,0,0.0%,0,0,0,0,0.0%,0.0%,0.0%,0.0%, - , - , - , - ,0,0,0,0,-,-,-,-
1400000US48071710401,"Census Tract 7104.01, Chambers County, Texas",3494,315,304,2812,9.0%,8.7%,80.5%,4439,390,315,3654,8.8%,7.1%,82.3%,658,17.0%,577,16,0,520,14.9%,2.8%,0.0%,90.1%," $ 46,537.00 "," $ 45,565.00 "," $ 28,521.00 "," $ 48,945.00 ",380,0,87,407,10.9%,0.0%,18.0%,8.8%
1400000US48157673300,"Census Tract 6733, Fort Bend County, Texas",4081,347,339,3194,8.5%,8.3%,78.3%,5735,403,459,4635,7.0%,8.0%,80.8%,3484,65.0%,3040,202,102,2581,56.7%,6.6%,3.4%,84.9%," $ 142,768.00 "," $ 57,892.00 "," $ 97,734.00 "," $ 161,123.00 ",179,14,61,163,4.4%,2.1%,10.9%,2.9%
1400000US48157674800,"Census Tract 6748, Fort Bend County, Texas",3190,567,1929,676,17.8%,60.5%,21.2%,3711,615,2081,997,16.6%,56.1%,26.9%,674,20.6%,465,52,167,237,14.2%,11.2%,35.9%,51.0%," $ 37,849.00 "," $ 32,957.00 "," $ 34,245.00 "," $ 53,846.00 ",586,383,1008,63,18.4%,33.4%,27.7%,6.1%
1400000US48157670500,"Census Tract 6705, Fort Bend County, Texas",3162,2049,713,127,64.8%,22.5%,4.0%,3684,2392,750,185,64.9%,20.4%,5.0%,1327,40.9%,1057,765,33,78,32.6%,72.4%,3.1%,7.4%," $ 54,447.00 "," $ 57,585.00 "," $ 48,278.00 "," $ 102,882.00 ",265,342,72,0,8.4%,12.2%,6.3%,0.0%
1400000US48157670800,"Census Tract 6708, Fort Bend County, Texas",11092,6358,4206,228,57.3%,37.9%,2.1%,12209,7077,4531,289,58.0%,37.1%,2.4%,3438,33.6%,2764,2194,383,125,27.0%,79.4%,13.9%,4.5%," $ 73,601.00 "," $ 80,769.00 "," $ 57,679.00 "," $ 69,350.00 ",1180,340,1854,112,10.6%,3.6%,24.4%,27.0%
1400000US48157674000,"Census Tract 6740, Fort Bend County, Texas",4835,175,430,2087,3.6%,8.9%,43.2%,6369,226,547,3107,3.5%,8.6%,48.8%,3664,65.0%,3285,177,189,1495,58.3%,5.4%,5.8%,45.5%," $ 88,846.00 "," $ 90,897.00 ", - ," $ 83,207.00 ",414,0,97,287,8.6%,0.0%,14.3%,7.7%
